MM/DD/YYYY HH:mm:ss:msms,ch01,ch02,ch03,ch04
08/20/2016 14:20:03:7255,2561,2570,0338,0281
08/20/2016 14:20:03:7505,2567,2567,0181,0157
08/20/2016 14:20:03:7754,2564,2568,0128,0112
08/20/2016 14:20:03:8005,2563,2566,0109,0094
08/20/2016 14:20:03:8255,2558,2569,0098,0084
08/20/2016 14:20:03:8504,2566,2566,0091,0079
08/20/2016 14:20:03:8754,2562,2567,0089,0076
08/20/2016 14:20:03:9005,2562,2568,0086,0074
08/20/2016 14:20:03:9254,2562,2564,0084,0073
08/20/2016 14:20:03:9504,2562,2567,0083,0072
08/20/2016 14:20:03:9755,2565,2569,0082,0070
08/20/2016 14:20:04:1005,2561,2573,0180,0152
08/20/2016 14:20:04:1254,2562,2572,0115,0099
08/20/2016 14:20:04:1504,2562,2565,0094,0082
08/20/2016 14:20:04:1754,2566,2570,0085,0074
08/20/2016 14:20:04:2005,2565,2574,0082,0071
08/20/2016 14:20:04:2255,2566,2570,0079,0069
08/20/2016 14:20:04:2504,2565,2570,0078,0068
08/20/2016 14:20:04:2754,2565,2566,0078,0067
08/20/2016 14:20:04:3005,2565,2571,0077,0067
08/20/2016 14:20:04:3255,2561,2566,0077,0067
08/20/2016 14:20:04:3504,2562,2566,0076,0067
08/20/2016 14:20:04:3755,2566,2564,0075,0066
08/20/2016 14:20:04:4005,2567,2574,0075,0066
08/20/2016 14:20:04:4255,2561,2570,0075,0066
08/20/2016 14:20:04:4504,2566,2570,0074,0066
08/20/2016 14:20:04:4754,2563,2570,0074,0065
08/20/2016 14:20:04:5004,2565,2568,0074,0066
08/20/2016 14:20:04:5255,2563,2566,0074,0065
08/20/2016 14:20:04:5504,2566,2571,0074,0066
08/20/2016 14:20:04:5754,2565,2574,0074,0066
08/20/2016 14:20:04:6004,2564,2571,0074,0065
08/20/2016 14:20:04:6255,2564,2574,0074,0064
08/20/2016 14:20:04:6504,2560,2568,0073,0064
08/20/2016 14:20:04:6754,2561,2570,0074,0065
08/20/2016 14:20:04:7005,2563,2566,0073,0065
08/20/2016 14:20:04:7255,2564,2570,0073,0065
08/20/2016 14:20:04:7504,2566,2566,0074,0064
08/20/2016 14:20:04:7754,2560,2567,0073,0065
08/20/2016 14:20:04:8005,2562,2569,0073,0065
08/20/2016 14:20:04:8255,2565,2568,0073,0065
08/20/2016 14:20:04:8504,2565,2570,0073,0064
08/20/2016 14:20:04:8754,2566,2570,0073,0064
08/20/2016 14:20:04:9005,2565,2568,0073,0064
08/20/2016 14:20:04:9254,2562,2570,0072,0064
08/20/2016 14:20:04:9504,2561,2567,0074,0064
08/20/2016 14:20:04:9754,2564,2574,0073,0063
08/20/2016 14:20:05:0255,2563,2567,0103,0089
08/20/2016 14:20:05:0504,2560,2565,0083,0073
08/20/2016 14:20:05:0754,2563,2568,0076,0067
08/20/2016 14:20:05:1005,2566,2570,0074,0066
08/20/2016 14:20:05:1255,2562,2561,0074,0066
08/20/2016 14:20:05:1505,2562,2563,0073,0066
08/20/2016 14:20:05:1754,2562,2567,0074,0065
08/20/2016 14:20:05:2004,2562,2567,0073,0065
08/20/2016 14:20:05:2255,2565,2566,0073,0065
08/20/2016 14:20:05:2505,2562,2569,0072,0064
08/20/2016 14:20:05:2754,2559,2570,0073,0064
08/20/2016 14:20:05:3004,2565,2572,0072,0064
08/20/2016 14:20:05:3255,2562,2566,0073,0065
08/20/2016 14:20:05:3505,2561,2569,0073,0064
08/20/2016 14:20:05:3754,2561,2566,0073,0065
08/20/2016 14:20:05:4004,2567,2568,0072,0064
08/20/2016 14:20:05:4255,2564,2570,0071,0064
08/20/2016 14:20:05:4504,2562,2566,0073,0065
08/20/2016 14:20:05:4755,2562,2566,0072,0065
08/20/2016 14:20:05:5005,2561,2566,0073,0063
08/20/2016 14:20:05:5255,2562,2567,0072,0064
08/20/2016 14:20:05:5504,2562,2573,0071,0064
08/20/2016 14:20:05:5755,2563,2567,0072,0064
08/20/2016 14:20:05:6005,2563,2568,0071,0063
08/20/2016 14:20:05:6255,2564,2566,0071,0063
08/20/2016 14:20:05:6505,2562,2563,0072,0064
08/20/2016 14:20:05:6754,2563,2568,0071,0064
08/20/2016 14:20:05:7004,2562,2564,0072,0064
08/20/2016 14:20:05:7255,2562,2567,0072,0064
08/20/2016 14:20:05:7505,2565,2564,0071,0064
08/20/2016 14:20:05:7754,2561,2567,0072,0063
08/20/2016 14:20:05:8005,2563,2570,0072,0064
08/20/2016 14:20:05:8254,2562,2570,0072,0063
08/20/2016 14:20:05:8505,2562,2566,0072,0063
08/20/2016 14:20:05:8755,2563,2570,0071,0063
08/20/2016 14:20:05:9004,2562,2568,0070,0063
08/20/2016 14:20:05:9254,2563,2566,0071,0064
08/20/2016 14:20:05:9505,2561,2569,0070,0063
08/20/2016 14:20:05:9755,2558,2564,0071,0064
08/20/2016 14:20:06:0254,2566,2567,0100,0087
08/20/2016 14:20:06:0505,2565,2573,0080,0071
08/20/2016 14:20:06:0755,2568,2570,0074,0067
08/20/2016 14:20:06:3254,2561,2567,0221,0191
08/20/2016 14:20:06:3505,2567,2570,0128,0113
08/20/2016 14:20:06:3754,2563,2570,0097,0088
08/20/2016 14:20:06:4004,2564,2566,0085,0077
08/20/2016 14:20:06:4255,2564,2570,0081,0072
08/20/2016 14:20:06:4504,2565,2566,0078,0069
08/20/2016 14:20:06:4754,2566,2570,0076,0067
08/20/2016 14:20:06:5004,2562,2566,0074,0067
08/20/2016 14:20:06:5255,2562,2569,0074,0066
08/20/2016 14:20:06:5504,2566,2570,0074,0065
08/20/2016 14:20:06:5755,2564,2570,0073,0065
08/20/2016 14:20:06:7005,2562,2570,0164,0141
08/20/2016 14:20:06:7254,2564,2569,0104,0093
08/20/2016 14:20:06:7505,2562,2562,0087,0078
08/20/2016 14:20:06:7755,2566,2570,0078,0070
08/20/2016 14:20:06:8004,2564,2566,0076,0068
08/20/2016 14:20:06:8255,2562,2570,0075,0066
08/20/2016 14:20:06:8504,2566,2573,0073,0066
08/20/2016 14:20:06:8755,2563,2567,0073,0066
08/20/2016 14:20:06:9005,2562,2562,0070,0065
08/20/2016 14:20:06:9254,2562,2569,0073,0065
08/20/2016 14:20:06:9504,2566,2567,0073,0065
08/20/2016 14:20:06:9754,2561,2572,0072,0064
08/20/2016 14:20:07:0255,2568,2570,0100,0088
08/20/2016 14:20:07:0504,2562,2571,0081,0073
08/20/2016 14:20:07:0755,2565,2566,0074,0068
08/20/2016 14:20:07:1004,2563,2566,0074,0065
08/20/2016 14:20:07:1255,2565,2570,0072,0064
08/20/2016 14:20:07:1504,2562,2566,0071,0064
08/20/2016 14:20:07:1755,2566,2570,0071,0064
08/20/2016 14:20:07:2004,2566,2565,0071,0064
08/20/2016 14:20:07:2254,2565,2568,0071,0062
08/20/2016 14:20:07:2504,2559,2570,0072,0064
08/20/2016 14:20:07:2755,2562,2571,0071,0062
08/20/2016 14:20:07:3004,2566,2571,0071,0062
08/20/2016 14:20:07:3254,2562,2568,0070,0063
08/20/2016 14:20:07:3505,2562,2562,0072,0064
08/20/2016 14:20:07:3755,2568,2570,0070,0063
08/20/2016 14:20:07:4004,2564,2562,0070,0063
08/20/2016 14:20:07:4255,2563,2570,0071,0063
08/20/2016 14:20:07:4504,2566,2570,0070,0063
08/20/2016 14:20:07:4755,2562,2568,0070,0064
08/20/2016 14:20:07:5004,2562,2566,0071,0064
08/20/2016 14:20:07:5254,2564,2571,0070,0063
08/20/2016 14:20:07:5504,2562,2567,0072,0063
08/20/2016 14:20:07:5755,2557,2573,0070,0062
08/20/2016 14:20:07:6005,2564,2570,0070,0062
08/20/2016 14:20:07:6254,2562,2566,0071,0063
08/20/2016 14:20:07:6505,2564,2566,0070,0063
08/20/2016 14:20:07:6754,2556,2562,0070,0064
08/20/2016 14:20:07:7005,2566,2565,0070,0063
08/20/2016 14:20:07:7254,2565,2570,0070,0064
08/20/2016 14:20:07:7505,2566,2573,0070,0063
08/20/2016 14:20:07:7754,2562,2570,0070,0062
08/20/2016 14:20:07:8005,2564,2570,0070,0063
08/20/2016 14:20:07:8255,2204,2382,0068,0062
08/20/2016 14:20:07:8505,2154,2378,0067,0062
08/20/2016 14:20:07:8754,2088,1656,0024,0045
08/20/2016 14:20:07:9004,2010,1706,0049,0053
08/20/2016 14:20:07:9255,2101,1542,0062,0061
08/20/2016 14:20:07:9504,1874,1894,0070,0062
08/20/2016 14:20:07:9755,1912,1620,0070,0063
08/20/2016 14:20:08:0255,2172,2313,0108,0087
08/20/2016 14:20:08:0504,2147,2186,0085,0074
08/20/2016 14:20:08:0755,2285,2263,0071,0066
08/20/2016 14:20:08:1005,2375,2151,0074,0070
08/20/2016 14:20:08:1254,2225,2259,0076,0067
08/20/2016 14:20:08:1504,2362,2201,0074,0068
08/20/2016 14:20:08:1754,2314,2077,0073,0070
08/20/2016 14:20:08:2005,2002,1853,0070,0070
08/20/2016 14:20:08:2254,2244,2006,0078,0072
08/20/2016 14:20:08:2504,1769,1800,0075,0071
08/20/2016 14:20:08:2754,1941,1820,0078,0073
08/20/2016 14:20:08:3005,1664,1940,0087,0072
08/20/2016 14:20:08:3255,1754,2104,0087,0073
08/20/2016 14:20:08:3504,1870,2128,0084,0072
08/20/2016 14:20:08:3754,1654,2039,0078,0069
08/20/2016 14:20:08:4005,2264,2281,0081,0070
08/20/2016 14:20:08:4255,2321,2230,0077,0071
08/20/2016 14:20:08:4504,2303,2227,0080,0070
08/20/2016 14:20:08:4755,2394,2060,0075,0075
08/20/2016 14:20:08:5005,2247,2038,0073,0070
08/20/2016 14:20:08:5254,2358,2096,0082,0074
08/20/2016 14:20:08:5505,2240,1944,0081,0078
08/20/2016 14:20:08:5754,2231,2002,0078,0071
08/20/2016 14:20:08:6255,1795,1727,0111,0105
08/20/2016 14:20:08:6504,2097,1909,0093,0086
08/20/2016 14:20:08:6755,1769,1830,0096,0083
08/20/2016 14:20:08:7004,1594,1743,0083,0077
08/20/2016 14:20:08:8755,2276,2284,0233,0198
08/20/2016 14:20:08:9005,2336,2149,0134,0122
08/20/2016 14:20:08:9254,2361,2188,0109,0098
08/20/2016 14:20:08:9504,2354,2255,0102,0088
08/20/2016 14:20:08:9754,2281,1961,0082,0079
08/20/2016 14:20:09:0255,1712,1992,0139,0120
08/20/2016 14:20:09:0505,1447,1902,0102,0091
08/20/2016 14:20:09:0754,1771,2002,0097,0088
08/20/2016 14:20:09:1005,1711,2048,0091,0079
08/20/2016 14:20:09:1255,2060,2227,0092,0078
08/20/2016 14:20:09:1504,1977,2204,0094,0082
08/20/2016 14:20:09:2754,2357,2147,0195,0173
08/20/2016 14:20:09:3004,2288,2089,0123,0113
08/20/2016 14:20:09:3255,2110,1923,0104,0099
08/20/2016 14:20:09:3504,2195,1809,0087,0086
08/20/2016 14:20:09:3754,2000,1808,0091,0084
08/20/2016 14:20:09:4004,2055,1965,0096,0084
08/20/2016 14:20:09:4255,1686,1703,0091,0081
08/20/2016 14:20:09:4505,1751,1979,0095,0082
08/20/2016 14:20:09:4754,1722,1853,0087,0107
08/20/2016 14:20:09:5004,1588,1933,0087,0100
08/20/2016 14:20:09:5255,1890,2176,0096,0094
08/20/2016 14:20:09:5505,1956,2119,0086,0087
08/20/2016 14:20:09:5754,1956,2172,0091,0095
08/20/2016 14:20:09:6005,2190,2263,0087,0092
08/20/2016 14:20:09:6255,2272,2134,0078,0082
08/20/2016 14:20:09:6504,2329,2304,0091,0087
08/20/2016 14:20:09:6755,2355,2123,0078,0084
08/20/2016 14:20:09:7005,2359,2110,0083,0084
08/20/2016 14:20:09:7255,2158,2002,0082,0093
08/20/2016 14:20:09:7505,2058,1783,0077,0082
08/20/2016 14:20:09:7754,2120,1976,0087,0087
08/20/2016 14:20:09:8005,1799,1707,0089,0088
08/20/2016 14:20:09:8255,1709,1903,0089,0087
08/20/2016 14:20:09:8505,1838,2140,0094,0087
08/20/2016 14:20:09:8754,1768,2038,0087,0083
08/20/2016 14:20:09:9005,2005,2240,0091,0082
08/20/2016 14:20:09:9254,2084,2209,0088,0082
08/20/2016 14:20:09:9505,2215,2268,0082,0079
08/20/2016 14:20:09:9755,2353,2296,0086,0084
08/20/2016 14:20:10:0255,1847,1826,0116,0113
08/20/2016 14:20:10:0504,2168,1974,0095,0095
08/20/2016 14:20:10:0755,1533,1764,0087,0084
08/20/2016 14:20:10:1004,1904,1876,0088,0089
08/20/2016 14:20:10:1254,1524,1915,0088,0086
08/20/2016 14:20:10:1505,1902,2174,0091,0083
08/20/2016 14:20:10:1754,1774,2133,0090,0087
08/20/2016 14:20:10:2004,1498,1978,0082,0083
08/20/2016 14:20:10:2255,2110,2263,0091,0130
08/20/2016 14:20:10:2505,2094,2238,0084,0095
08/20/2016 14:20:10:2754,2091,2242,0087,0086
08/20/2016 14:20:10:3005,2218,2300,0086,0086
08/20/2016 14:20:10:3255,2145,2249,0080,0078
08/20/2016 14:20:10:3505,2354,2246,0082,0080
08/20/2016 14:20:10:3754,2336,2118,0080,0078
08/20/2016 14:20:10:4005,2349,2124,0081,0080
08/20/2016 14:20:10:4255,2147,2032,0080,0083
08/20/2016 14:20:10:4505,1803,1843,0082,0081
08/20/2016 14:20:10:4755,2300,2110,0094,0086
08/20/2016 14:20:10:5005,2493,2424,0099,0087
08/20/2016 14:20:10:5254,2402,2475,0106,0095
